log_id,driver_id,date,timestamp,current_earnings,elapsed_hours,curr_velocity,required_velocity,velocity_delta,trips_completed,forecast_status
531e87fa,c6af26f4,2026-03-10,2026-03-10T17:57:40.558524400,0.0000,0.0000,0.0000,501.0438,-501.0438,0,CRITICAL
3c3e8ace,c6af26f4,2026-03-10,2026-03-10T17:57:50.669238200,0.0000,0.0000,0.0000,501.0438,-501.0438,0,CRITICAL
79f8d209,c6af26f4,2026-03-10,2026-03-10T17:58:20.675651600,0.0000,0.0000,0.0000,501.0438,-501.0438,0,CRITICAL
773c8dad,c6af26f4,2026-03-10,2026-03-10T17:58:50.668351700,0.0000,0.0167,259.7143,501.5487,-241.8344,0,CRITICAL
72373d08,c6af26f4,2026-03-10,2026-03-10T17:59:20.677042100,0.0000,0.0167,259.7143,501.5487,-241.8344,0,CRITICAL
3cfd7867,c6af26f4,2026-03-10,2026-03-10T17:59:50.681152500,0.0000,0.0333,259.7143,502.0557,-242.3414,0,CRITICAL
c6c54332,c6af26f4,2026-03-10,2026-03-10T18:00:20.675470200,0.0000,0.0333,259.7143,502.0557,-242.3414,0,CRITICAL
3afead9f,c6af26f4,2026-03-10,2026-03-10T18:00:50.671609500,0.0000,0.0500,259.7143,502.5648,-242.8505,0,CRITICAL
b3d5a583,c6af26f4,2026-03-10,2026-03-10T18:01:20.668858800,0.0000,0.0500,259.7143,502.5648,-242.8505,0,CRITICAL
c6e9c948,c6af26f4,2026-03-10,2026-03-10T18:01:50.673580100,0.0000,0.0667,259.7143,503.0761,-243.3618,0,CRITICAL
9cbbf7c7,c6af26f4,2026-03-10,2026-03-10T18:02:20.682090100,0.0000,0.0667,259.7143,503.0761,-243.3618,0,CRITICAL
fdc44918,c6af26f4,2026-03-10,2026-03-10T18:02:28.712545800,0.0000,0.0667,909.0000,497.6084,411.3916,1,AHEAD
fc682ffd,c6af26f4,2026-03-10,2026-03-10T18:02:28.721945,60.6000,0.0667,909.0000,497.6084,411.3916,1,AHEAD
